timestamp,riskyForStable,deltaOut,tau,totalUnderlying,totalQuote,totalLiquidity,pool.id,pool.liquidity,pool.strike,pool.invariant,pool.sigma,pool.maturity,pool.initialQuote,pool.initialUnderlying,pool.initialLiquidity,pool.initialTau,pool.feesCollectedQuote,pool.feesCollectedUnderlying,pool.maturity_utc,pool.createdAtTimestamp_utc,pool.initialTau_utc,tau_yrs,pool.initialTau_years,swap_vol_cum,swap_count_cum,pool_name,spot_price,tvl,initial_tvl,total_fees_usdc,pool.duration_utc
2022-04-12 09:06:00,True,1899.479474,1436037,3.355759482944818,6860.365422,5.702197318941869,0xfcc619e8a32ec1d1308c30c86f9e92ef798328c091385929e80d400bb92218fe,2.6461258436595485,3200.0,29,0.65,1651190400,384.055672,0.11315748961314497,0.25,1919253,0.0,0.036174015915536366,2022-04-29 00:00:00,2022-04-07 00:00:00,2022-04-06 18:52:00,0.045536434550989345,0.06085911339421613,10760.138938,6,2022-04-07_2022-04-29_3200_0.65,3072.5366859152323,17171.059542455885,731.7362101224599,111.14599097736698,22
2022-04-12 21:00:00,True,2289.236681,6231580,6.311972380959494,15387.940079,12.273233465173416,0x7825a58f2a7a6c7472ba964a31f1a9678935c243cfed43747001e11132547c09,11.130536484814723,3200.0,21,0.65,1656028800,288.060629,0.08544866780533937,0.2,6748551,0.0,0.10734524193431404,2022-06-24 00:00:00,2022-04-07 00:00:00,2022-04-06 21:24:00,0.19760210553018773,0.21399514840182648,27684.575533,13,2022-04-07_2022-06-24_3200_0.65,3037.5676208772857,34560.98300727426,547.6167355725983,326.0684311549109,78
2022-04-13 05:24:00,False,33.946493,1794988,1.8744121e-11,33.969471,0.04647980614138921,0x7cf2faae5f189b46a16ab7fa3694d6307221d72c0525312090f9c478798a5209,0.016166866605036342,1.0,729,0.1,1651622400,0.002978,0.002999982937475366,0.006062553426252058,2113284,0.339465,0.0,2022-05-04 00:00:00,2022-04-10 00:00:00,2022-04-09 12:59:00,0.05691869609335363,0.06701179604261796,33.946493,1,2022-04-10_2022-05-04_1_0.1,1.1575295036176343,33.9694710000217,0.0064505687604772335,0.339465,24
2022-04-18 01:45:00,True,1117.057975,944120,3.94399564186394,6450.997054,6.073340478457502,0xfcc619e8a32ec1d1308c30c86f9e92ef798328c091385929e80d400bb92218fe,2.6461258436595485,3200.0,29,0.65,1651190400,384.055672,0.11315748961314497,0.25,1919253,0.0,0.036174015915536366,2022-04-29 00:00:00,2022-04-07 00:00:00,2022-04-06 18:52:00,0.02993784880771182,0.06085911339421613,8860.659464,6,2022-04-07_2022-04-29_3200_0.65,3045.5285175606714,18462.548254431633,728.6800335924084,110.1689970654596,22
2022-04-18 07:48:00,True,1679.011784,5760718,7.1164205444160995,14427.51183,12.73161453296396,0x7825a58f2a7a6c7472ba964a31f1a9678935c243cfed43747001e11132547c09,11.130536484814723,3200.0,21,0.65,1656028800,288.060629,0.08544866780533937,0.2,6748551,0.0,0.10734524193431404,2022-06-24 00:00:00,2022-04-07 00:00:00,2022-04-06 21:24:00,0.18267116945712836,0.21399514840182648,25395.338852,13,2022-04-07_2022-06-24_3200_0.65,2954.5769011833468,35453.523589638426,540.5252891345448,317.1597722710622,78
2022-04-18 07:56:00,True,1808.85788,921817,4.55787894236244,4642.139174,6.073340478457502,0xfcc619e8a32ec1d1308c30c86f9e92ef798328c091385929e80d400bb92218fe,2.6461258436595485,3200.0,29,0.65,1651190400,384.055672,0.11315748961314497,0.25,1919253,0.0,0.036174015915536366,2022-04-29 00:00:00,2022-04-07 00:00:00,2022-04-06 18:52:00,0.02923062531709792,0.06085911339421613,7743.601489000001,6,2022-04-07_2022-04-29_3200_0.65,2950.144218525801,18088.539384551048,717.8865857651131,106.71856391407992,22
2022-04-22 09:44:00,True,5375.145067,569746,19.630353981130945,41964.690515,34.464438751300655,0xf342f0f16d0ddfc60d3be3824613f8df3eccd612b5b49b0e81f7c2cce5f3a8b9,1.609343324932688,3100.0,-38,0.6,1651190400,265.261117,0.0999999999904996,0.19311591218716798,712870,0.0,0.23311357479761724,2022-04-29 00:00:00,2022-04-21 00:00:00,2022-04-20 17:59:00,0.018066527143581937,0.02260495941146626,68006.17811000001,8,2022-04-21_2022-04-29_3100_0.6,3046.5558237659047,101769.6597588007,569.916699347647,710.1935188985697,8
2022-04-22 18:10:00,True,8201.034796,539406,22.658150288746757,34338.533728,34.936570144183975,0xf342f0f16d0ddfc60d3be3824613f8df3eccd612b5b49b0e81f7c2cce5f3a8b9,1.609343324932688,3100.0,-38,0.6,1651190400,265.261117,0.0999999999904996,0.19311591218716798,712870,0.0,0.23311357479761724,2022-04-29 00:00:00,2022-04-21 00:00:00,2022-04-20 17:59:00,0.017104452054794522,0.02260495941146626,62631.033043,8,2022-04-21_2022-04-29_3100_0.6,2999.3445758086673,102298.13389441019,565.1955745523718,699.1879361166013,8
2022-04-24 02:10:00,True,6313.743761,424216,29.356501557912875,34925.500184,41.95746242551719,0xf342f0f16d0ddfc60d3be3824613f8df3eccd612b5b49b0e81f7c2cce5f3a8b9,1.609343324932688,3100.0,-38,0.6,1651190400,265.261117,0.0999999999904996,0.19311591218716798,712870,0.0,0.23311357479761724,2022-04-29 00:00:00,2022-04-21 00:00:00,2022-04-20 17:59:00,0.013451801116184678,0.02260495941146626,54429.998247,8,2022-04-21_2022-04-29_3100_0.6,2981.879027251308,122463.03649301073,563.4490196968018,695.1164796565939,8
2022-04-24 02:25:00,True,421.517694,423319,0.652616256193733,382.750069,0.7209576972601094,0x1398e410510ea0f2de90aaa0c1cf570d2121cfceba2e4b0b6a0c752409d9c516,0.09198184103337857,3500.0,207,1.0,1651190400,201.495348,0.19130159845742586,0.26738685935224343,1435816,0.0,0.002048467139819017,2022-04-29 00:00:00,2022-04-12 00:00:00,2022-04-12 09:10:00,0.013423357432775241,0.04552942668696093,653.445091,2,2022-04-12_2022-04-29_3500_1.0,2986.3930687962948,2331.718733080751,772.7971156829086,6.117528068012483,17
